ลำดับ,หน่วยงาน,ชื่อหน่วยงาน,จังหวัด,ชื่อแหล่งท่องเที่ยว,latitude,longitude,เปิดตลอดปี,วันที่เริ่มปิด,วันที่สิ้นสุดการปิด,สาเหตุการปิด,หมายเหตุ,,,,,,,,,,,,,,
30,อุทยานแห่งชาติ,เขาใหญ่,นครราชสีมา,ลานกางเต็นท์ลำตะคอง,14.42399,101.38553,ใช่,-,-,-,,,,,,,,,,,,,,,
31,อุทยานแห่งชาติ,ทับลาน,นครราชสีมา,หาดชมตะวัน (ลำปลายมาศ),14.30051,102.44990,ไม่ใช่,1-ก.ค.,30-ก.ย.,เนื่องจากสถานการณ์น้ำป่าไหลหลาก,,,,,,,,,,,,,,,
32,อุทยานแห่งชาติ,ทับลาน,ปราจีนบุรี,ป่าลาน,14.21698,101.90199,ใช่,-,-,,,,,,,,,,,,,,,,
33,อุทยานแห่งชาติ,ทับลาน,นครราชสีมา,น้ำตกสวนห้อม,14.33534,101.88505,ไม่ใช่,1-มี.ค.,31-พ.ค.,เนื่องจากปัญหาไฟป่า และหมอกควันจากไฟป่า ,,,,,,,,,,,,,,,
34,อุทยานแห่งชาติ,ทับลาน,นครราชสีมา,หาดจอมทอง,14.47092,102.12247,ใช่,-,-,,,,,,,,,,,,,,,,
35,อุทยานแห่งชาติ,ทับลาน,นครราชสีมา,เขื่อนลำมูลบน,14.48436,102.14720,ใช่,-,-,,,,,,,,,,,,,,,,
36,อุทยานแห่งชาติ,ทับลาน,นครราชสีมา,น้ำตกม่านฟ้า,14.34220,101.89542,ไม่ใช่,1-มี.ค.,31-พ.ค.,เนื่องจากปัญหาไฟป่า และหมอกควันจากไฟป่า ,,,,,,,,,,,,,,,
37,อุทยานแห่งชาติ,ทับลาน,นครราชสีมา,ผาเก็บตะวัน,14.31873,101.93.372,ไม่ใช่,1-มี.ค.,31-พ.ค.,เนื่องจากปัญหาไฟป่า และหมอกควันจากไฟป่า ,,,,,,,,,,,,,,,
38,อุทยานแห่งชาติ,ทับลาน,ปราจีนบุรี,อ่างเก็บน้ำทับลาน,14.20649,101.91930,ใช่,-,-,,,,,,,,,,,,,,,,
39,อุทยานแห่งชาติ,ทับลาน,นครราชสีมา,บ้านโซนที่ 2 โซนหน่วยพิทักษ์อุทยานแห่งชาติ (สวนห้อม),14.34086,101.88959,ใช่,1-มี.ค.,31-พ.ค.,เนื่องจากปัญหาไฟป่า และหมอกควันจากไฟป่า ,,,,,,,,,,,,,,,
40,อุทยานแห่งชาติ,ทับลาน,นครราชสีมา,ลานกางเต็นท์สวนห้อม,14.38859,101.88986,ใช่,1-มี.ค.,31-พ.ค.,เนื่องจากปัญหาไฟป่า และหมอกควันจากไฟป่า ,,,,,,,,,,,,,,,
41,อุทยานแห่งชาติ,ทับลาน,นครราชสีมา,ลานกางเต็นท์ลำปลายมาศ,14.30078,102.44977,ไม่ใช่,1-ก.ค.,30-ก.ย.,เนื่องจากสถานการณ์น้ำป่าไหลหลาก,,,,,,,,,,,,,,,
