park_name,park_status_final,month,park_status_key,total_attractions,open_attractions,closed_attractions,unknown_attractions,known_attractions,availability_pct,unknown_pct,availability_data_status
กุยบุรี,กุยบุรี,1,กุยบุรี,2.0,2.0,0.0,0.0,2.0,100.0,0.0,Known
กุยบุรี,กุยบุรี,2,กุยบุรี,2.0,2.0,0.0,0.0,2.0,100.0,0.0,Known
กุยบุรี,กุยบุรี,3,กุยบุรี,2.0,2.0,0.0,0.0,2.0,100.0,0.0,Known
กุยบุรี,กุยบุรี,4,กุยบุรี,2.0,2.0,0.0,0.0,2.0,100.0,0.0,Known
กุยบุรี,กุยบุรี,5,กุยบุรี,2.0,2.0,0.0,0.0,2.0,100.0,0.0,Known
กุยบุรี,กุยบุรี,6,กุยบุรี,2.0,2.0,0.0,0.0,2.0,100.0,0.0,Known
กุยบุรี,กุยบุรี,7,กุยบุรี,2.0,2.0,0.0,0.0,2.0,100.0,0.0,Known
กุยบุรี,กุยบุรี,8,กุยบุรี,2.0,2.0,0.0,0.0,2.0,100.0,0.0,Known
กุยบุรี,กุยบุรี,9,กุยบุรี,2.0,2.0,0.0,0.0,2.0,100.0,0.0,Known
กุยบุรี,กุยบุรี,10,กุยบุรี,2.0,2.0,0.0,0.0,2.0,100.0,0.0,Known
กุยบุรี,กุยบุรี,11,กุยบุรี,2.0,2.0,0.0,0.0,2.0,100.0,0.0,Known
กุยบุรี,กุยบุรี,12,กุยบุรี,2.0,2.0,0.0,0.0,2.0,100.0,0.0,Known
ขุนขาน,ขุนขาน,1,ขุนขาน,4.0,4.0,0.0,0.0,4.0,100.0,0.0,Known
ขุนขาน,ขุนขาน,2,ขุนขาน,4.0,4.0,0.0,0.0,4.0,100.0,0.0,Known
ขุนขาน,ขุนขาน,3,ขุนขาน,4.0,4.0,0.0,0.0,4.0,100.0,0.0,Known
ขุนขาน,ขุนขาน,4,ขุนขาน,4.0,4.0,0.0,0.0,4.0,100.0,0.0,Known
ขุนขาน,ขุนขาน,5,ขุนขาน,4.0,4.0,0.0,0.0,4.0,100.0,0.0,Known
ขุนขาน,ขุนขาน,6,ขุนขาน,4.0,4.0,0.0,0.0,4.0,100.0,0.0,Known
ขุนขาน,ขุนขาน,7,ขุนขาน,4.0,4.0,0.0,0.0,4.0,100.0,0.0,Known
ขุนขาน,ขุนขาน,8,ขุนขาน,4.0,3.0,1.0,0.0,4.0,75.0,0.0,Known
ขุนขาน,ขุนขาน,9,ขุนขาน,4.0,1.0,3.0,0.0,4.0,25.0,0.0,Known
ขุนขาน,ขุนขาน,10,ขุนขาน,4.0,4.0,0.0,0.0,4.0,100.0,0.0,Known
ขุนขาน,ขุนขาน,11,ขุนขาน,4.0,4.0,0.0,0.0,4.0,100.0,0.0,Known
ขุนขาน,ขุนขาน,12,ขุนขาน,4.0,4.0,0.0,0.0,4.0,100.0,0.0,Known
ขุนน่าน,ขุนน่าน,1,ขุนน่าน,4.0,4.0,0.0,0.0,4.0,100.0,0.0,Known
ขุนน่าน,ขุนน่าน,2,ขุนน่าน,4.0,3.0,1.0,0.0,4.0,75.0,0.0,Known
ขุนน่าน,ขุนน่าน,3,ขุนน่าน,4.0,3.0,1.0,0.0,4.0,75.0,0.0,Known
ขุนน่าน,ขุนน่าน,4,ขุนน่าน,4.0,3.0,1.0,0.0,4.0,75.0,0.0,Known
ขุนน่าน,ขุนน่าน,5,ขุนน่าน,4.0,3.0,1.0,0.0,4.0,75.0,0.0,Known
ขุนน่าน,ขุนน่าน,6,ขุนน่าน,4.0,3.0,1.0,0.0,4.0,75.0,0.0,Known
ขุนน่าน,ขุนน่าน,7,ขุนน่าน,4.0,3.0,1.0,0.0,4.0,75.0,0.0,Known
ขุนน่าน,ขุนน่าน,8,ขุนน่าน,4.0,4.0,0.0,0.0,4.0,100.0,0.0,Known
ขุนน่าน,ขุนน่าน,9,ขุนน่าน,4.0,4.0,0.0,0.0,4.0,100.0,0.0,Known
ขุนน่าน,ขุนน่าน,10,ขุนน่าน,4.0,4.0,0.0,0.0,4.0,100.0,0.0,Known
ขุนน่าน,ขุนน่าน,11,ขุนน่าน,4.0,4.0,0.0,0.0,4.0,100.0,0.0,Known
ขุนน่าน,ขุนน่าน,12,ขุนน่าน,4.0,4.0,0.0,0.0,4.0,100.0,0.0,Known
ขุนพะวอ,ขุนพะวอ,1,ขุนพะวอ,8.0,5.0,0.0,3.0,5.0,100.0,37.5,Known
ขุนพะวอ,ขุนพะวอ,2,ขุนพะวอ,8.0,5.0,0.0,3.0,5.0,100.0,37.5,Known
ขุนพะวอ,ขุนพะวอ,3,ขุนพะวอ,8.0,5.0,0.0,3.0,5.0,100.0,37.5,Known
ขุนพะวอ,ขุนพะวอ,4,ขุนพะวอ,8.0,5.0,0.0,3.0,5.0,100.0,37.5,Known
ขุนพะวอ,ขุนพะวอ,5,ขุนพะวอ,8.0,5.0,0.0,3.0,5.0,100.0,37.5,Known
ขุนพะวอ,ขุนพะวอ,6,ขุนพะวอ,8.0,5.0,0.0,3.0,5.0,100.0,37.5,Known
ขุนพะวอ,ขุนพะวอ,7,ขุนพะวอ,8.0,5.0,0.0,3.0,5.0,100.0,37.5,Known
ขุนพะวอ,ขุนพะวอ,8,ขุนพะวอ,8.0,5.0,0.0,3.0,5.0,100.0,37.5,Known
ขุนพะวอ,ขุนพะวอ,9,ขุนพะวอ,8.0,5.0,0.0,3.0,5.0,100.0,37.5,Known
ขุนพะวอ,ขุนพะวอ,10,ขุนพะวอ,8.0,5.0,0.0,3.0,5.0,100.0,37.5,Known
ขุนพะวอ,ขุนพะวอ,11,ขุนพะวอ,8.0,5.0,0.0,3.0,5.0,100.0,37.5,Known
ขุนพะวอ,ขุนพะวอ,12,ขุนพะวอ,8.0,5.0,0.0,3.0,5.0,100.0,37.5,Known
ขุนสถาน,ขุนสถาน,1,ขุนสถาน,4.0,4.0,0.0,0.0,4.0,100.0,0.0,Known
ขุนสถาน,ขุนสถาน,2,ขุนสถาน,4.0,4.0,0.0,0.0,4.0,100.0,0.0,Known
ขุนสถาน,ขุนสถาน,3,ขุนสถาน,4.0,0.0,4.0,0.0,4.0,0.0,0.0,Known
ขุนสถาน,ขุนสถาน,4,ขุนสถาน,4.0,0.0,4.0,0.0,4.0,0.0,0.0,Known
ขุนสถาน,ขุนสถาน,5,ขุนสถาน,4.0,0.0,4.0,0.0,4.0,0.0,0.0,Known
ขุนสถาน,ขุนสถาน,6,ขุนสถาน,4.0,4.0,0.0,0.0,4.0,100.0,0.0,Known
ขุนสถาน,ขุนสถาน,7,ขุนสถาน,4.0,4.0,0.0,0.0,4.0,100.0,0.0,Known
ขุนสถาน,ขุนสถาน,8,ขุนสถาน,4.0,4.0,0.0,0.0,4.0,100.0,0.0,Known
ขุนสถาน,ขุนสถาน,9,ขุนสถาน,4.0,4.0,0.0,0.0,4.0,100.0,0.0,Known
ขุนสถาน,ขุนสถาน,10,ขุนสถาน,4.0,4.0,0.0,0.0,4.0,100.0,0.0,Known
ขุนสถาน,ขุนสถาน,11,ขุนสถาน,4.0,4.0,0.0,0.0,4.0,100.0,0.0,Known
ขุนสถาน,ขุนสถาน,12,ขุนสถาน,4.0,4.0,0.0,0.0,4.0,100.0,0.0,Known
ขุนแจ,ขุนแจ,1,ขุนแจ,7.0,7.0,0.0,0.0,7.0,100.0,0.0,Known
ขุนแจ,ขุนแจ,2,ขุนแจ,7.0,7.0,0.0,0.0,7.0,100.0,0.0,Known
ขุนแจ,ขุนแจ,3,ขุนแจ,7.0,4.0,3.0,0.0,7.0,57.14285714285714,0.0,Known
ขุนแจ,ขุนแจ,4,ขุนแจ,7.0,4.0,3.0,0.0,7.0,57.14285714285714,0.0,Known
ขุนแจ,ขุนแจ,5,ขุนแจ,7.0,4.0,3.0,0.0,7.0,57.14285714285714,0.0,Known
ขุนแจ,ขุนแจ,6,ขุนแจ,7.0,0.0,7.0,0.0,7.0,0.0,0.0,Known
ขุนแจ,ขุนแจ,7,ขุนแจ,7.0,0.0,7.0,0.0,7.0,0.0,0.0,Known
ขุนแจ,ขุนแจ,8,ขุนแจ,7.0,0.0,7.0,0.0,7.0,0.0,0.0,Known
ขุนแจ,ขุนแจ,9,ขุนแจ,7.0,0.0,7.0,0.0,7.0,0.0,0.0,Known
ขุนแจ,ขุนแจ,10,ขุนแจ,7.0,4.0,3.0,0.0,7.0,57.14285714285714,0.0,Known
ขุนแจ,ขุนแจ,11,ขุนแจ,7.0,7.0,0.0,0.0,7.0,100.0,0.0,Known
